Code,Year,GDP Per Capita,,
HND,1957,2107,,
HKG,1957,4626,,
HUN,1957,5051,,
ISL,1957,10079,,
IND,1957,1084,,
IDN,1957,1613,,
IRN,1957,2817,,
IRQ,1957,3666,,
IRL,1957,6239,,
ISR,1957,6363,,
ITA,1957,8158,,
JAM,1957,3934,,
JPN,1957,4999,,
JOR,1957,3354,,
KEN,1957,1176,,
KWT,1957,50126,,
LAO,1957,751,,
LBN,1957,6599,,
LSO,1957,749,,
LBR,1957,3537,,
LBY,1957,958,,
LUX,1957,14961,,
MDG,1957,1741,,
MWI,1957,610,,
MYS,1957,2319,,
MLI,1957,816,,
MLT,1957,2144,,
MRT,1957,816,,
MUS,1957,4136,,
MEX,1957,4403,,
MNG,1957,835,,
MNE,1957,2125,,
MAR,1957,2263,,
MOZ,1957,1986,,
MMR,1957,813,,
NAM,1957,4398,,
NPL,1957,915,,
NLD,1957,12137,,
NZL,1957,14418,,
NIC,1957,3351,,
NER,1957,1122,,
NGA,1957,1323,,
MKD,1957,3062,,
NOR,1957,10697,,
OMN,1957,1325,,
